,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
91,1,1,XSHE,+08:00,CNY,11:01,8.67,8.66,8.67,8.66,135700,1175970
92,1,1,XSHE,+08:00,CNY,11:02,8.67,8.66,8.67,8.66,42160,365303.6
93,1,1,XSHE,+08:00,CNY,11:03,8.68,8.66,8.68,8.66,59351,514674.89
94,1,1,XSHE,+08:00,CNY,11:04,8.68,8.67,8.68,8.67,74060,642386.2
95,1,1,XSHE,+08:00,CNY,11:05,8.67,8.67,8.68,8.67,77751,674588.17
96,1,1,XSHE,+08:00,CNY,11:06,8.67,8.67,8.68,8.67,145500,1262585
97,1,1,XSHE,+08:00,CNY,11:07,8.68,8.68,8.68,8.67,73500,637812
98,1,1,XSHE,+08:00,CNY,11:08,8.68,8.68,8.68,8.67,56180,487332.6
99,1,1,XSHE,+08:00,CNY,11:09,8.68,8.67,8.68,8.67,51860,449756.2
100,1,1,XSHE,+08:00,CNY,11:10,8.67,8.68,8.68,8.67,48500,420821
101,1,1,XSHE,+08:00,CNY,11:11,8.67,8.67,8.68,8.67,38100,330328
102,1,1,XSHE,+08:00,CNY,11:12,8.67,8.68,8.68,8.67,31000,268876
103,1,1,XSHE,+08:00,CNY,11:13,8.68,8.67,8.68,8.67,169100,1467235
104,1,1,XSHE,+08:00,CNY,11:14,8.68,8.68,8.68,8.67,96200,834738
105,1,1,XSHE,+08:00,CNY,11:15,8.67,8.67,8.67,8.66,292926,2539427.42
106,1,1,XSHE,+08:00,CNY,11:16,8.67,8.67,8.67,8.66,149700,1297516
107,1,1,XSHE,+08:00,CNY,11:17,8.66,8.66,8.67,8.66,216300,1873420
108,1,1,XSHE,+08:00,CNY,11:18,8.66,8.66,8.67,8.66,28740,248948.4
109,1,1,XSHE,+08:00,CNY,11:19,8.66,8.66,8.67,8.66,25100,217436
110,1,1,XSHE,+08:00,CNY,11:20,8.66,8.66,8.67,8.66,69500,602133
111,1,1,XSHE,+08:00,CNY,11:21,8.66,8.66,8.67,8.66,63620,550974.2
112,1,1,XSHE,+08:00,CNY,11:22,8.67,8.66,8.67,8.66,107300,929790
113,1,1,XSHE,+08:00,CNY,11:23,8.66,8.66,8.67,8.66,139700,1210902
114,1,1,XSHE,+08:00,CNY,11:24,8.66,8.67,8.67,8.66,61800,535402
115,1,1,XSHE,+08:00,CNY,11:25,8.66,8.66,8.67,8.66,77500,671844
116,1,1,XSHE,+08:00,CNY,11:26,8.67,8.66,8.67,8.66,49300,427312
117,1,1,XSHE,+08:00,CNY,11:27,8.66,8.66,8.67,8.66,107280,929051.8
118,1,1,XSHE,+08:00,CNY,11:28,8.67,8.66,8.67,8.66,58700,508760
